Seconds_from_start,Seconds_from_subset,,Date,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke_Rate,Glide_Controller,Stroke_Detected,Stroke_Cycle_Start
47603.813,11.313,,4/10/2018,4.949245,1.398991,-8.098344,0.007202258,-0.346396,39.39274,0,,0
47603.875,11.375,,4/10/2018,5.149405,1.549199,-8.04799,0.007202258,-0.1916112,39.39274,0,,0
47603.938,11.438,,4/10/2018,5.249107,1.4493,-8.198291,0.007202258,-0.03195762,39.39274,0,,0
47604,11.5,,4/10/2018,5.149405,1.599508,-8.148699,0.007202258,0.10418,39.39274,0,,0
47604.063,11.563,,4/10/2018,4.849542,0.949086,-8.098344,0.007202258,0.2242836,39.39274,0,,0
47604.125,11.625,,4/10/2018,4.749084,1.748997,-8.04799,0.007202258,0.349756,39.39274,0,,0
47604.188,11.688,,4/10/2018,4.649382,1.799306,-8.198291,0.007202258,0.4779448,39.39274,0,,0
47604.25,11.75,,4/10/2018,4.599531,1.398991,-8.348592,0.007202258,0.5782191,39.39274,0,,0
47604.313,11.813,,4/10/2018,4.649382,1.349401,-8.298238,0.007202258,0.6559274,39.39274,0,,0
47604.375,11.875,,4/10/2018,4.499073,1.949514,-8.348592,0.007202258,0.6984285,33.83185,0,#5 Event Marker ,1
47604.438,11.938,,4/10/2018,4.798936,2.099003,-8.298238,0.007202258,0.6649813,22.71008,0,,0
47604.5,12,,4/10/2018,4.849542,1.149603,-8.498131,0.007202258,0.5548168,22.71008,0,,0
47604.563,12.063,,4/10/2018,5.149405,0.4991809,-8.648432,0.007202258,0.429005,22.71008,0,,0
47604.625,12.125,,4/10/2018,5.34881,0.2490739,-8.998627,0.007202258,0.3167389,22.71008,0,,0
47604.688,12.188,,4/10/2018,5.399416,0.2993828,-8.998627,0.007202258,0.2330374,22.71008,0,,0
47604.75,12.25,,4/10/2018,4.899393,0.09958471,-8.998627,0.007202258,0.1989863,22.71008,0,,0
47604.813,12.313,,4/10/2018,4.949245,0.04927583,-9.148165,0.007202258,0.2216369,22.71008,0,,0
47604.875,12.375,,4/10/2018,4.849542,-0.1483662,-9.348058,0.007202258,0.2541012,22.71008,0,,0
47604.938,12.438,,4/10/2018,4.849542,-0.2482652,-9.19852,0.007202258,0.2632895,22.71008,0,,0
47605,12.5,,4/10/2018,4.999096,-0.1483662,-8.748379,-0.4681468,0.240336,22.71008,0,,0
