Seconds,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke Rate,Glide Controller,Stroke Detected,Comment
16.813,3.199165,-2.198812,-8.748379,-0.4681468,0.3102151,22.75571,0.1611229,0,
16.875,2.899302,-1.198384,-8.398184,-0.4681468,0.3433704,22.75571,0.1588689,0,
16.938,3.149313,-0.6485802,-8.498131,-0.4681468,0.347273,22.75571,0.1567516,0,
17,3.499027,-1.098485,-8.748379,-0.4681468,0.3439381,22.75571,0.1547708,0,
17.063,3.499027,-1.198384,-9.148165,-0.4681468,0.335454,22.75571,0.1529267,0,
17.125,3.399325,-1.048176,-9.148165,-0.4681468,0.3258979,22.75571,0.1512192,0,
17.188,3.649336,-1.148794,-9.148165,-0.4681468,0.3213328,22.75571,0.1496482,0,
17.25,3.649336,-1.148794,-9.098573,-0.4681468,0.3339051,22.75571,0.1482139,0,
17.313,3.79889,-0.8986872,-8.998627,-0.4681468,0.3576524,22.75571,0.1469162,0,
17.375,3.548878,-0.9482773,-9.098573,-0.4681468,0.3945827,22.75571,0.1457551,0,
17.438,3.548878,-0.3984732,-9.098573,-0.4681468,0.4407467,22.75571,0.1447305,0,
17.5,3.249016,-0.4487821,-8.89868,-0.4681468,0.4781439,22.75571,0.1438426,0,
17.563,3.449176,-0.4983722,-8.648432,-0.4681468,0.4948015,23.92653,0.1430913,1,#5 Event Marker 
17.625,3.548878,-0.6485802,-8.698024,-0.4681468,0.4888247,26.26817,0.1424766,0,
17.688,3.548878,-0.4487821,-8.797971,-0.4681468,0.4563236,26.26817,0.1419985,0,
17.75,4.249062,0.04927583,-8.648432,-0.4681468,0.397403,26.26817,0.141657,0,
17.813,4.149359,0.000404349,-8.448539,-0.4681468,0.3222147,26.26817,0.1414521,0,
17.875,3.849496,-0.1986751,-8.598077,-0.4681468,0.2407751,26.26817,0.1413838,0,
17.938,3.99905,-0.8986872,-9.148165,-0.4681468,0.1591129,26.26817,0.1414521,0,
18,3.699187,-0.8986872,-8.848325,-0.4681468,0.07722628,26.26817,0.141657,0,
18.063,3.899348,-0.5486811,-9.098573,-0.4681468,-0.000877399,26.26817,0.1419985,0,
18.125,3.649336,-1.248693,-9.248112,-0.4681468,-0.0771011,26.26817,0.1424766,0,
18.188,3.349474,-0.9985862,-9.098573,-0.4681468,-0.1552778,26.26817,0.1430913,0,
18.25,3.298867,-0.9482773,-9.148165,-0.4681468,-0.2372344,26.26817,0.1438426,0,
18.313,3.699187,-0.6981704,-9.547951,-0.4681468,-0.3127315,26.26817,0.1447305,0,
18.375,3.79889,-0.6485802,-9.448005,-0.4681468,-0.3835744,26.26817,0.1457551,0,
